IFK Göteborg,Örebro SK,IF Elfsborg,Gefle IF,Åtvidabergs FF,Kalmar FF,GAIS,Malmö FF,Trelleborgs FF,IF Brommapojkarna,Halmstads BK,Djurgårdens IF FF,Helsingborgs IF,AIK,Mjällby AIF,round,BK Häcken
1,2,9,7,15,16,6,10,12,14,8,13,4,5,11,1,3
7,8,3,6,16,12,13,4,9,11,14,15,2,10,5,2,1
9,10,5,7,16,14,6,3,12,11,8,15,2,13,4,3,1
10,7,6,5,16,13,11,3,12,8,9,14,2,15,4,4,1
11,9,7,5,16,13,6,2,14,8,12,10,1,15,4,5,3
13,8,7,6,16,14,5,2,11,10,9,12,1,15,3,6,4
11,4,9,7,16,15,8,2,13,10,5,12,1,14,3,7,6
11,3,5,10,16,15,9,2,14,7,8,12,1,13,4,8,6
12,4,3,11,14,13,6,2,16,8,7,10,1,15,5,9,9
12,3,4,11,14,13,7,2,16,6,9,8,1,15,5,10,10
11,3,4,9,13,12,5,2,15,8,10,7,1,16,6,11,14
13,3,5,11,14,8,6,2,16,9,12,7,1,15,4,12,10
12,3,5,10,14,8,6,2,15,11,13,7,1,16,4,13,9
13,3,5,11,15,6,9,2,16,7,8,10,1,14,4,14,12
9,3,5,13,16,6,10,2,15,7,11,12,1,14,4,15,8
12,3,5,14,16,6,8,2,13,7,9,10,1,15,4,16,11
9,3,4,14,16,6,10,2,11,8,12,13,1,15,5,17,7
7,3,4,14,16,6,8,2,11,9,13,12,1,15,5,18,10
6,4,3,15,16,7,8,2,9,12,14,10,1,11,5,19,13
7,3,4,15,16,9,8,2,10,11,14,6,1,13,5,20,12
7,3,4,15,16,10,9,1,11,13,12,6,2,14,5,21,8
6,3,4,16,15,9,11,1,10,13,12,5,2,14,7,22,8
5,3,4,16,13,8,11,1,9,14,12,7,2,15,6,23,10
5,3,4,15,14,7,11,1,9,16,12,6,2,13,8,24,10
5,3,4,16,13,8,11,1,9,15,12,7,2,14,6,25,10
6,3,4,15,13,8,10,1,12,16,11,5,2,14,7,26,9
5,3,4,15,14,7,11,1,9,16,12,8,2,13,6,27,10
6,3,4,15,14,7,11,1,9,16,12,8,2,13,5,28,10
8,3,4,14,15,9,12,1,6,16,13,7,2,11,5,29,10
7,3,4,14,15,9,13,1,5,16,12,10,2,11,6,30,8
